[2022-04-15 22:42:54,100][restartedMain][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-8080"]
[2022-04-15 22:42:54,146][restartedMain][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220] Tomcat started on port(s): 8080 (http) with context path ''
[2022-04-15 22:42:54,222][restartedMain][INFO][com.cloud.springbootdemo.config.CustomSpringApplication:28] 容器刷新完成，context: , args : org.springframework.boot.DefaultApplicationArguments@79ab6178
[2022-04-15 22:42:54,224][restartedMain][INFO][com.cloud.springbootdemo.SpringbootdemoApplication:61] Started SpringbootdemoApplication in 10.751 seconds (JVM running for 12.184)
[2022-04-15 22:42:54,230][restartedMain][INFO][org.springframework.boot.availability.ApplicationAvailabilityBean:75] Application availability state LivenessState changed to CORRECT
[2022-04-15 22:42:54,277][restartedMain][INFO][com.cloud.springbootdemo.SpringbootdemoApplication:42] ApplicationRunner接口起作用
[2022-04-15 22:42:54,278][restartedMain][INFO][com.cloud.springbootdemo.SpringbootdemoApplication:47] CommandLineRunner接口起作用
[2022-04-15 22:42:54,285][restartedMain][INFO][org.springframework.boot.availability.ApplicationAvailabilityBean:75] Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
[2022-04-15 22:43:01,067][http-nio-8080-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-04-15 22:43:01,068][http-nio-8080-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:525] Initializing Servlet 'dispatcherServlet'
[2022-04-15 22:43:01,083][http-nio-8080-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:547] Completed initialization in 15 ms
[2022-04-15 22:44:21,896][SpringContextShutdownHook][INFO][org.springframework.boot.availability.ApplicationAvailabilityBean:75] Application availability state ReadinessState changed from ACCEPTING_TRAFFIC to REFUSING_TRAFFIC
